iter	Passed	Remaining
0	8	1675
1	15	1531
2	22	1480
3	29	1446
4	37	1457
5	45	1461
6	53	1465
7	59	1435
8	67	1426
9	74	1417
10	81	1407
11	88	1381
12	95	1374
13	103	1370
14	110	1365
15	118	1359
16	125	1353
17	133	1344
18	141	1343
19	148	1333
20	155	1329
21	163	1319
22	170	1313
23	175	1285
24	182	1280
25	190	1274
26	197	1265
27	205	1262
28	213	1259
29	221	1257
30	229	1248
31	236	1243
32	243	1233
33	251	1227
34	258	1219
35	267	1217
36	274	1211
37	283	1207
38	290	1199
39	298	1194
40	306	1189
41	314	1184
42	322	1178
43	330	1172
44	338	1165
45	345	1158
46	353	1150
47	360	1142
48	369	1137
49	376	1129
50	384	1122
51	391	1115
52	399	1108
53	407	1101
54	415	1096
55	423	1087
56	430	1080
57	437	1072
58	445	1064
59	453	1057
60	460	1048
61	467	1040
62	475	1032
63	483	1026
64	490	1018
65	498	1011
66	505	1003
67	513	996
68	520	988
69	528	982
70	535	973
71	543	966
72	551	959
73	559	952
74	566	944
75	574	937
76	582	930
77	589	922
78	597	915
79	604	907
80	612	899
81	619	891
82	627	884
83	634	876
84	642	869
85	650	861
86	657	854
87	666	847
88	674	841
89	682	834
90	691	827
91	699	820
92	707	813
93	714	806
94	722	798
95	730	790
96	737	783
97	745	775
98	752	767
99	760	760
100	767	752
101	775	745
102	783	737
103	791	730
104	799	722
105	807	715
106	814	708
107	822	700
108	829	692
109	837	685
110	845	677
111	853	670
112	861	662
113	868	654
114	876	647
115	883	640
116	892	632
117	899	624
118	907	617
119	914	609
120	922	602
121	929	594
122	937	587
123	945	579
124	953	571
125	961	564
126	968	556
127	976	549
128	983	541
129	991	533
130	998	525
131	1006	518
132	1013	510
133	1021	503
134	1029	495
135	1037	488
136	1045	480
137	1053	473
138	1061	465
139	1068	458
140	1076	450
141	1083	442
142	1091	435
143	1098	427
144	1106	419
145	1114	412
146	1121	404
147	1128	396
148	1136	389
149	1143	381
150	1151	373
151	1159	366
152	1166	358
153	1174	350
154	1181	343
155	1189	335
156	1196	327
157	1205	320
158	1212	312
159	1220	305
160	1227	297
161	1235	289
162	1243	282
163	1250	274
164	1258	266
165	1265	259
166	1273	251
167	1281	244
168	1288	236
169	1295	228
170	1303	221
171	1310	213
172	1318	205
173	1325	198
174	1333	190
175	1340	182
176	1348	175
177	1356	167
178	1364	160
179	1371	152
180	1380	144
181	1387	137
182	1395	129
183	1402	121
184	1410	114
185	1418	106
186	1425	99
187	1433	91
188	1440	83
189	1449	76
190	1457	68
191	1465	61
192	1472	53
193	1481	45
194	1488	38
195	1496	30
196	1503	22
197	1512	15
198	1519	7
199	1527	0
